Brand,ABV,Calories,Carbs
Tennents Sweetheart Stout,2,122,20.58
Beck's Premier Light,2.3,64,3.9
Bud Select 55,2.4,55,1.9
Konig Radler,2.5,75,NA
Hahn Premium Light,2.6,96,NA
Cascade Premium Light,2.6,96,NA
Miller64,2.8,64,2.4
MGD 64 Lemonade,2.8,64,2.4
Licher Pilsner Leicht,2.8,85,NA
Bitburger Light,2.8,96,NA
Grolsch Blonde Lager,2.8,120,NA
James Boags Premium Light,2.9,92,NA
Molson Canadian 67,3,67,NA
Emu Draft,3,106,NA
Kirin Light,3.2,95,7.8
Mike's Lite Hard Lemonade,3.2,117,15
Yuengling Premium Light,3.3,98,NA
Amstel Light,3.5,95,5
Heineken Light,3.5,99,6.8
Yuengling Light Lager,3.5,99,8.8
Tennents Special,3.5,115,11.71
Crown Gold,3.5,117,NA
Grolsch Light Lager,3.6,97,NA
Red Stripe Light,3.6,124,11.5
Old Milwaukee Light,3.8,114,NA
Big Flats Light Beer,3.9,96,6
Hamm's Special Light,3.9,110,NA
Sapporo Premium Light,3.9,119,8.5
Molson Canadian Light,3.9,120,9.6
Aguila,3.9,132,NA
Michelob Ultra 19th Hole Light Tea & Lemonade,3.9,140,16.1
Sleeman Clear,4,90,2.5
Labatt Sterling,4,92,NA
Michelob Ultra Amber,4,95,3.2
Michelob ULTRA Pomegranate Raspberry,4,95,5.5
Alcohol Inspired Refresher (AIR),4,95,NA
Michelob ULTRA Lime Cactus,4,95,5.5
Michelob ULTRA Dragonfruit Peach,4,95,5.5
Labatt Blue Light,4,108,NA
Carling,4,117,NA
Tennents Lager,4,117,9.58
Sam Adams Light,4,119,7.71
Shiner Light,4,120,NA
Michelob Ultra Light Cider,4,120,10
Murphys Irish Stout,4,124,9.2
Red Bridge Beer,4,127,12.3
Emu Bitter,4,142,NA
Victoria,4.04,135,NA
Busch Light,4.1,95,3.2
Milwaukee's Best Light,4.1,98,3.5
Corona Light,4.1,99,5
Miller High Life Light,4.1,110,7
Bud Light Golden Wheat,4.1,118,8.3
Michelob Light,4.1,123,8.9
Miller Icehouse Light,4.13,103,NA
Keystone Light,4.13,104,5
Pabst Blue Ribbon Light,4.19,113,8.3
Pig's Eye Lean Light,4.2,95,2.6
Michelob Ultra,4.2,95,2.6
Natural Light,4.2,95,3.2
Miller Lite,4.2,96,3.2
Shiner Light Blonde,4.2,99,NA
Miller Chill,4.2,100,4
Coors Light,4.2,102,5
Leinenkugel's Light,4.2,109,NA
Bud Light,4.2,110,6.6
Miller Genuine Draft Light,4.2,110,NA
Schlitz Light,4.2,110,NA
Bud Light Lime,4.2,116,8
Guinness Draught,4.2,128,10.6
Tusker Lager,4.2,128,NA
Leinenkugel's Summer Shandy,4.2,130,NA
Chelada Bud Light,4.2,151,15.6
Karl Strauss - Amber Lager,4.2,161,NA
Tecate,4.25,138,NA
Budweiser Select,4.3,99,3.1
Busch,4.3,114,6.9
Krombacher Dark,4.3,124,NA
Milwaukee's Best Premium,4.3,128,11.4
Goose Island Honkers Ale,4.3,155,17
Tooheys Old,4.4,131,NA
Kona Big Wave Golden Ale,4.4,132,NA
Shiner Blonde,4.4,140,NA
Shiner Bock,4.4,142,NA
Modelo Especial,4.4,145,NA
Pacifico,4.4,145,NA
Pilsner Urquell,4.4,156,16
Keystone Premium,4.43,111,5.8
Tequiza,4.5,127,NA
Smithwicks Draught,4.5,128,7.1
Swan Draught,4.5,128,NA
West End Draught,4.5,131,NA
Guinness Black Lager,4.5,131,9.6
Abbots Lager,4.5,131,9.9
Rolling Rock Extra Pale,4.5,132,10
Southwark Bitter,4.5,135,NA
Old Milwaukee Beer,4.5,146,NA
Big Flats Lager Beer,4.5,148,13.5
Magners Golden Draught,4.5,167,12.78
Strohs,4.52,142,NA
Boags Draught,4.6,131,NA
XXXX Bitter,4.6,131,NA
Tooheys New,4.6,135,NA
Victoria Bitter,4.6,135,NA
Ballarat Bitter,4.6,135,10.3
Cristal,4.6,138,NA
Dos Equis Lager,4.6,142,NA
Yuengling Lager,4.6,142,12
Yuengling Premium,4.6,142,12
Miller Genuine Draft,4.6,143,13.1
Miller High Life,4.6,143,13.1
Kona Longboard Island Lager,4.6,144,NA
Dos Equis Amber,4.6,146,NA
Henry Weinhard's Blue Boar,4.6,147,NA
Corona Extra,4.6,148,NA
Boddingtons Pub Ale,4.6,148,NA
Imperial,4.6,150,NA
Landshark Lager,4.6,150,NA
Bards Original Sorghum Malt Beer,4.6,155,NA
Beez Neez (Matilda Bay),4.7,135,9.6
Newcastle Brown Ale,4.7,138,9.6
Tennents Original Export Lager,4.7,142,11
Hamm's,4.7,144,12.1
Schlitz Beer,4.7,146,NA
Skol,4.7,149,NA
Red Stripe,4.7,151,12.8
Leinenkugel's Original Lager,4.7,152,13.9
Harp Lager,4.7,153,NA
Leinenkugel's Berry Weiss,4.7,207,28
Pabst Blue Ribbon,4.74,144,12.8
Carling Chrome,4.8,133,NA
Cascade Lager,4.8,135,NA
Boags XXX Ale,4.8,138,NA
Krombacher Pils,4.8,138,NA
Harbin Lager,4.8,144,NA
New Belgium Sunshine Wheat,4.8,145,NA
Blue Paddle Pilsner Lager,4.8,145,NA
Red Dog,4.8,147,11.5
Henry Weinhard's Private Reserve,4.8,150,NA
Greens Premium Pils,4.8,151,NA
Warsteiner Premium Verum,4.8,153,NA
Greens Premium Golden Ale,4.8,156,NA
Warsteiner Premium Dunkel,4.8,156,NA
Tsingtao,4.8,157,NA
Michelob,4.8,158,14.4
Yuengling Black & Tan,4.8,158,15
Yuengling Porter,4.8,162,15
NIXE Extra Dry,4.9,114,2.49
Sapporo Premium,4.9,140,10.3
Valima Lager,4.9,142,NA
Crown Lager,4.9,142,NA
Kirin Ichiban,4.9,147,10.6
St. Pauli Girl - Lager,4.9,148,NA
Leinenkugel's Honey Weiss,4.9,149,12
Asahi Super Dry,4.9,149,NA
Paulaner Munich Premium Lager,4.9,149,NA
Konig Pilsener,4.9,149,NA
Henry Weinhard's Hefeweizen,4.9,151,NA
Anchor Steam,4.9,153,NA
Henry Weinhard's Belgian Style Wheat,4.9,155,NA
Leinenkugel's Fireside Nut Brown,4.9,155,13.4
Hoegaarden White,4.9,159,NA
Leinenkugel's Sunset Wheat,4.9,165,16
Leinenkugel's Red Lager,4.9,166,16.2
Samuel Adams Noble Pils,4.9,169,14
Leinenkugel's Creamy Dark,4.9,170,16.8
Michelob Honey Lager,4.9,174,NA
Samuel Adams Boston Lager,4.9,175,17.2
Samuel Adams Cream Stout,4.9,190,19.6
Bud Dry,5,130,NA
Labatt Blue,5,135,NA
Becks Pilsner,5,138,NA
Strongbow Cider (USA variant),5,140,NA
Beck's Dark,5,142,NA
James Boags Premium,5,142,NA
Budweiser,5,145,10.6
Foster's,5,145,11.2
Hahn Premium,5,146,NA
Steinlager Classic,5,146,NA
Grolsch Premium Lager,5,147,10.4
Molson Canadian,5,148,11.1
Coors Banquet,5,149,12.2
Heineken,5,150,11.5
Molson Golden,5,151,12.2
Coors Extra Gold Lager,5,152,12.5
Carlsberg Export,5,152,NA
Guinness Blonde American Lager,5,152,11
Sierra Nevada Summerfest Beer,5,158,13.7
Lowenbrau Dark,5,160,NA
New Planet 3R Raspberry Ale,5,160,NA
Henry Weinhard's Classic Dark Lager,5,164,NA
Redds Apple Ale,5,165,17.1
New Planet Off Grid Pale Ale,5,170,NA
New Planet Tread Lightly Ale,5,179,NA
Chelada Budweiser,5,186,20.3
Peroni Nastro Azzurro,5.1,150,11.4
Michelob AmberBock,5.1,155,11.8
Bass,5.1,156,12.9
Henry Weinhard's Blonde,5.1,161,NA
Pyramid Apricot Ale,5.1,167,15.6
Leinenkugel's Oktoberfest Lager,5.1,170,NA
Beck's Octoberfest,5.2,135,NA
Alaskan Pale,5.2,150,NA
Coronado Brewing Orange Ave Wit,5.2,152,NA
Stella Artois,5.2,153,NA
Blue Moon Honey Moon Summer Ale,5.2,157,12.5
Lowenbrau Special Beer,5.2,160,NA
Fat Tire,5.2,160,NA
Spaten Lager,5.2,160,NA
Shock Top Pumpkin,5.2,162,13.6
Shock Top Belgian White,5.2,167,14.6
Pyramid Hefeweizen,5.2,168,17.5
Shock Top Rasberry Wheat,5.2,179,17.5
Yuengling Chesterfield Ale,5.2,185,10.5
AleSmith X,5.25,150,NA
Bohemia Clasica,5.3,159,NA
Krombacher Weizen,5.3,160,NA
Asahi Black,5.3,167,NA
Pete's Wicked Ale,5.3,174,NA
Alaskan Amber,5.3,175,NA
Samuel Adams Cherry Wheat,5.3,176,15.8
Bud American Ale,5.3,182,18.1
Third Shift Amber Lager,5.3,182,17.9
Kona Pipeline Porter,5.3,185,NA
Coronado Golden - Coronado Brewing Co.,5.4,150,NA
Kona Wailua Wheat Ale,5.4,155,NA
Alexander Keiths Pale Ale,5.4,159,11.7
Samuel Adams Pale Ale,5.4,160,12.2
Grolsch Amber Ale,5.4,160,NA
Blue Moon Rising Moon Spring Ale,5.4,161,NA
Blue Moon Belgian White,5.4,164,13
George Killian's Irish Red,5.4,162,14.5
Alexander Keiths Lager,5.4,168,13.8
Negra Modelo,5.4,170,NA
Shiner Hefeweizen,5.4,174,NA
Samuel Adams Boston Ale,5.4,177,18.4
Alexander Keiths Brown Ale,5.4,178,16.5
Goose Island Nut Brown Ale,5.4,198,22
Bud Ice,5.5,136,4
Kronenbourg 1664,5.5,146,NA
Icehouse,5.5,149,9.8
Fosters Premium Ale,5.5,160,12.5
Dunkelweisse,5.5,167,NA
Paulaner Hefe-Weizen,5.5,167,NA
Batch 19,5.5,172,15
AleSmith Anvil ESB,5.5,180,NA
Kona Koko Nut Brown Ale,5.5,184,NA
Frederick Miller Classic Chocolate Lager,5.5,195,NA
Blue Moon Full Moon Winter Ale,5.52,180,NA
Tyskie,5.6,153,10.6
Magnum Malt Liquor,5.6,157,11.2
Mickey's Fine Malt Liquor,5.6,157,11.2
Guinness Generous Ale,5.6,162,11.5
Molson Ice,5.6,169,13.9
Sierra Nevada Pale Ale,5.6,175,14.1
Samuel Adams Winter Lager,5.6,193,17.7
1554,5.6,198,NA
Anchor Porter,5.6,209,NA
Sheaf Stout,5.7,188,NA
Blue Moon Harvest Moon Pumpkin Ale,5.76,180,14.7
Red Hook ESB,5.77,179,NA
Mickey's Ice,5.8,157,11.8
Paulaner Oktoberfest Marzen,5.8,177,NA
Leinenkugel's BIG BUTT Dopplebock,5.8,194,NA
Karl Strauss - Red Trolley Ale,5.8,202,NA
Samuel Adams Chocolate Bock,5.8,230,28
Natural Ice,5.9,130,4
Pig's Eye Ice Beer,5.9,134,4.1
Milwaukee's Best Ice,5.9,144,7.3
Keystone Ice,5.9,145,5.9
Olde English 800,5.9,160,10.5
Busch Ice,5.9,171,12.5
Goose Island India Pale Ale,5.9,211,23
King Cobra,6,134,4.3
Hurricane (Original),6,136,4.2
Bud Light Platinum,6,137,4.4
Steel Six,6,160,11
Belle-Vue Selection Lambic,6,162,NA
Becks Sapphire,6,162,8.9
Budweiser Black Crown,6,165,10.9
Kona Fire Rock Pale Ale,6,186,NA
Henry Weinhard's India Pale Ale,6,189,NA
Dogfish Head 60min IPA,6,209,NA
Colt 45 Malt Liquor,6.1,172,NA
Alaskan IPA,6.2,178,NA
Schlitz Malt Liquor,6.2,185,NA
Goose Island Ten Hills Pale Ale,6.2,203,20
Goose Island Oktoberfest,6.4,217,22
Red Hook IPA,6.5,188,NA
Pyramid ThunderHead IPA,6.7,217,22.5
Sierra Nevada Celebration Ale,6.8,214,19.4
Miller Fortune,6.9,186,12
Chimay Rouge,7,186,NA
Carlsberg Elephant,7.2,213,NA
Sierra Nevada Torpedo,7.2,236,20.6
AleSmith IPA,7.25,210,NA
Molson XXX,7.3,201,15.7
Hurricane Ice,7.5,175,NA
Olde English 800 7.5,7.5,202,NA
Trippel Belgian Style Ale,7.8,221,NA
Natty Daddy,8,181,5
Chimay Triple,8,202,NA
Olde English High Gravity 800,8,220,14.6
Sparks Lemonade,8,262,26.6
Sparks Iced Tea,8,278,30.8
Sparks Blackberry,8,287,33
Hurricane High Gravity,8.1,212,13.3
Steel Reserve High Gravity,8.1,222,14.7
Greens Tripel Blonde Ale,8.5,206,9
Duvel,8.5,213,NA
Coronado Idiot IPA,8.5,241,NA
Leffe Tripel,8.5,248,NA
Pyramid Outburst IPA,8.5,265,NA
Samuel Adams Double Bock,9.5,323,27.2
Sierra Nevada Bigfoot,9.6,330,32.1
Pigs Eye P.B. High Gravity Ice Malt Liquour,10.2,233,7.3
Sierra Nevada Hoptimum,10.4,314,24.4
AleSmith Old Numbskull,11,310,NA
AleSmith Speedway Stout,12,330,NA
