type,city,zip,price,beds,baths,sqft,lot,year,price_per_sqft
Multi-Family (2-4 Unit),Burlington,5408,500000,6,3,2800,8712,1968,179
Multi-Family (2-4 Unit),Burlington,5401,575000,4,2,2234,7187,1935,257
Single Family Residential,Burlington,5401,510000,5,2,1703,10454,1950,299
Condo/Co-op,Burlington,5401,825000,7,6,,,1899,
Condo/Co-op,Burlington,5401,216000,2,1,768,,1981,281
Single Family Residential,Burlington,5401,850000,3,2,1270,8276,1915,669
Condo/Co-op,Burlington,5408,600000,2,2,1400,,1986,429
Single Family Residential,Burlington,5401,450000,2,0.5,1292,31363,1972,348
Townhouse,Burlington,5401,589000,2,2.5,1716,,1990,343
Single Family Residential,Burlington,5408,625000,3,2,2137,10890,1960,292
Multi-Family (5+ Unit),Burlington,5401,1515000,20,0.5,7513,31711,1900,202
Condo/Co-op,Burlington,5401,240000,2,1,1000,,1992,240
Multi-Family (5+ Unit),Burlington,5401,1000000,,,9900,2613,1915,101
Condo/Co-op,Burlington,5401,305000,2,1,1080,,1899,282
Condo/Co-op,Burlington,5408,557500,2,2,1400,,1986,398
Single Family Residential,Burlington,5408,310000,4,1,1296,8712,1971,239
Condo/Co-op,Burlington,5401,349000,3,1,849,,1900,411
Condo/Co-op,Burlington,5401,203718,2,1,820,,1992,248
Townhouse,Burlington,5401,257500,3,2,1600,,1993,161
Multi-Family (2-4 Unit),Burlington,5401,455000,,,2048,3920,1989,222
Single Family Residential,Burlington,5408,280000,4,2,1344,11761,1954,208
Multi-Family (2-4 Unit),Burlington,5401,495000,4,4,2816,9234,1927,176
Condo/Co-op,Burlington,5408,570000,2,2,1398,,1986,408
Condo/Co-op,Burlington,5408,320000,2,1,1104,,1992,290
Mobile/Manufactured Home,Burlington,5408,300000,2,2,924,46609,1974,325
Single Family Residential,Burlington,5401,1650000,3,2,3267,27442,1931,505
Condo/Co-op,Burlington,5401,1980000,10,7,,,1899,
Condo/Co-op,Burlington,5401,270000,2,1,1000,,1992,270
