height,weight,dash40,vert_jump,bench_reps,broad_jump,cone_time,shuttle_time
76,252,4.55,,,,,
72,218,4.58,,,,,
76,334,5.56,25,23,94,8.48,4.98
74,253,4.97,29,,104,7.29,4.49
74,206,4.55,34,,123,7.18,4.15
70,202,,,,,,
75,250,4.53,,,,,
72,237,4.72,31,21,112,7.96,4.39
72,167,,,,,,
69,175,4.44,35,17,119,7.03,4.14
75,227,,,,,,
78,312,5.34,28,20,96,7.72,4.73
72,208,4.62,35,10,114,6.92,4.32
70,199,4.44,37.5,16,116,6.81,4.04
73,192,4.43,38.5,,124,6.7,3.99
74,200,,,,,,
75,312,5.19,,29,,,
71,178,4.5,34.5,,122,6.87,4.2
78,270,4.78,33.5,,123,6.94,4.08
75,234,4.65,,,,,
73,207,4.62,39.5,15,119,6.48,4.29
76,302,5.07,31.5,17,103,7.76,4.58
74,237,4.78,31.5,21,111,7.17,4.33
71,204,4.55,,,,,
76,274,5.09,29,26,105,7.68,4.49
73,201,4.49,33,12,115,7.06,4.09
74,300,5.03,,,,,
76,211,5.28,24.5,,99,7.2,4.38
76,309,5.19,28.5,28,99,7.82,4.7
75,218,5.01,29,,101,7.54,4.87
70,185,4.55,,10,,,
70,204,4.59,36,14,116,6.93,4.01
71,216,4.66,30,,117,6.64,4.08
72,217,4.72,31,,107,7.17,4.39
77,269,4.78,,,,,
75,260,4.91,,17,,,
74,208,4.97,,,100,7.46,4.34
75,244,4.47,38,,119,7.33,4.13
76,206,5.03,28.5,,107,7.46,4.42
77,231,4.59,33,,115,,
71,202,4.53,36,14,117,7.18,4.39
71,193,4.41,,18,,,
77,297,5.16,31,28,100,7.82,4.48
75,224,4.74,36.5,,119,6.94,4.23
73,283,5.06,28,22,106,7.82,4.75
68,190,4.5,41,16,121,6.75,4.19
74,208,4.54,39.5,,118,,
74,216,4.96,,,,,
70,215,4.56,38.5,16,128,6.84,4.2
71,205,4.47,,16,126,,
73,232,4.56,,,115,,
79,304,5.08,31,28,103,7.65,4.65
71,197,4.59,,,,,
77,302,5.2,,25,,,
73,283,5.25,27.5,25,108,7.98,4.65
77,303,5.15,31.5,29,100,7.77,4.86
74,245,4.75,,20,,,
77,334,5.05,30.5,24,102,7.58,4.73
72,191,4.37,37.5,,125,6.76,4.09
76,322,5.4,28,,101,8.15,4.97
72,211,4.61,32.5,,110,6.79,4.1
71,192,4.41,34,,115,6.89,4.39
77,286,5.16,,22,,,
76,291,5.49,33,27,103,8.14,4.84
75,276,5,35.5,25,121,7.65,4.45
75,277,5.22,28,,108,7.41,4.49
70,208,4.67,,16,117,,
71,192,4.68,38,13,111,7.1,
78,244,4.83,,18,,,
73,197,4.44,39,,125,6.34,3.94
75,217,4.74,33,,115,7.2,4.24
70,211,4.54,,,,,
79,268,5.06,30,13,108,7.33,4.67
68,189,4.81,32,13,109,7.04,4.47
76,309,5.66,26,,92,8.51,5
73,199,4.55,34,,117,6.96,4.16
71,259,4.65,,,,,
75,314,4.99,31.5,19,101,7.4,4.57
74,314,5.28,27.5,27,96,7.67,4.8
76,231,4.66,,,,,
71,215,4.66,30,13,115,7.34,4.41
73,206,4.58,,,117,,
71,260,4.99,28,,104,7.88,4.81
72,191,4.46,,,120,,
77,226,4.65,,,,,
76,280,4.85,,,,,
76,260,4.73,34,24,115,6.95,4.28
73,242,4.68,34.5,8,,,
72,190,4.51,33,,108,6.63,3.94
75,217,4.58,,,,,
71,207,4.92,31,,106,7.3,4.45
73,196,4.43,,,,,
76,243,4.76,34,22,115,7.51,4.56
76,249,4.72,37,14,116,6.92,4.16
76,271,4.75,33,24,114,7.21,4.15
70,198,4.55,37,,121,6.88,4.06
71,201,4.43,34.5,19,117,6.84,4.36
76,280,4.78,37,32,117,7.07,4.27
78,265,4.85,,,,,
73,199,4.55,,14,,,
72,188,4.5,35.5,14,124,6.91,4.38
76,281,4.73,34.5,31,114,7.2,4.41
75,253,4.85,27,18,116,7.46,4.52
69,186,4.56,37,21,124,6.6,3.9
75,249,4.62,32.5,22,113,7.15,4.3
75,199,4.56,37.5,,121,7.03,4.29
76,243,4.65,34,21,120,6.9,4.28
71,173,4.66,,,,,
73,221,4.56,33,21,115,6.97,4.19
71,195,4.45,,,,,
71,188,4.62,32,16,117,7.3,4.3
77,316,5.31,29.5,24,98,8,5.03
74,209,4.5,,15,,,
76,338,5.85,23,20,94,,
73,214,4.94,33.5,19,116,7.38,4.24
72,189,4.53,38.5,,118,,4.2
72,253,4.78,28.5,25,108,7.08,4.34
72,233,4.56,36,22,120,,
74,307,4.87,30,27,105,7.37,4.6
75,297,4.9,31,30,111,7.63,4.62
75,253,4.97,31.5,20,109,7.12,4.21
74,206,4.52,,,,,
74,271,5.03,32,,111,7.86,4.51
68,191,4.44,38,18,123,6.62,3.82
72,237,4.66,34.5,21,118,7.48,4.44
70,192,4.81,,,106,,
73,201,4.54,36,,116,7.57,4.41
72,197,4.5,32,17,125,6.97,4.07
70,238,4.81,30,,109,7.27,4.36
72,190,4.53,34.5,,114,6.73,4.25
69,186,4.34,39,16,121,6.75,4.01
70,190,4.5,37.5,16,119,7.12,4.25
71,204,4.5,,,,7.33,4.18
73,312,5.4,29,20,94,7.94,4.63
76,297,5.23,,,,,
73,215,4.54,34.5,,116,7.14,4.21
74,234,,,,,,
74,305,4.99,30,35,101,6.85,4.16
71,190,4.55,,,,,
76,281,5.09,29,,108,7,4.32
71,186,4.56,,16,,6.98,4.13
75,254,5.1,34,21,119,,
75,216,5.2,27.5,,99,7.17,4.41
72,192,4.7,,,,,
75,324,5.12,,,,,
77,296,5.05,31.5,19,105,7.69,4.72
73,242,4.6,35.5,24,125,7.15,4.14
76,319,5.2,,28,,,
72,226,4.68,,,109,,
72,197,4.56,,,,,
75,304,5.2,,19,,,
75,320,5.62,25.5,24,94,8.51,5.22
73,260,,,,,,
70,184,4.5,,18,118,,
72,198,4.51,38,16,123,6.91,4.14
78,310,5.25,29,,107,7.9,4.66
76,345,5.56,28,35,99,8.07,4.99
72,293,5.03,28.5,26,102,,
72,215,4.6,38,12,121,6.96,4.17
76,285,4.97,28,26,105,7.51,4.76
74,226,4.95,29.5,,96,,
70,216,4.45,,,,,
76,248,4.63,38.5,13,125,7.33,4.43
74,247,4.95,32,17,113,7.27,4.39
72,191,4.66,,,,,
73,240,4.68,,29,,,
76,330,5.46,31,25,104,7.91,4.76
73,221,4.62,37.5,29,121,6.81,4.16
70,214,4.41,41.5,23,131,6.82,3.93
73,200,4.55,36.5,15,120,6.96,4.31
71,235,4.74,,,,,
69,183,4.53,36,17,116,6.63,3.95
72,251,4.84,35,24,119,,
73,221,4.71,33.5,8,113,7.08,4.38
71,188,4.65,,,,7.12,4.2
70,195,,,,,,
78,272,4.9,,,,,
76,307,4.98,,24,,,
74,305,5.43,28,26,103,7.54,4.6
73,180,4.72,28.5,,106,7.11,4.38
76,299,5.09,,21,,,
71,190,4.42,34,,125,,
76,300,5.08,30,45,110,7.46,4.37
74,234,,,,,,
73,202,4.56,35.5,,125,7.3,4.25
72,202,5.02,27,,97,7.28,4.24
72,240,4.58,,23,,,
75,194,4.53,35,,121,,
73,294,5,36,28,108,7.44,4.56
74,182,4.61,36.5,,122,7.16,4.26
76,259,4.7,35,22,118,6.86,4.06
69,194,4.54,37.5,,120,6.9,4.09
69,184,4.44,35.5,20,117,6.73,4
74,227,4.58,34.5,,113,,
77,271,5,29,,101,,
71,206,4.63,32,,108,7.08,4.12
77,361,5.5,,24,,,
76,328,5.31,26,23,97,7.72,4.71
78,315,5.39,,28,,,
76,289,5.09,27.5,22,102,7.73,4.61
72,212,4.69,33,,120,6.89,4.15
75,298,5.12,34,25,110,7.46,4.43
77,284,4.99,30.5,27,113,7.49,4.52
75,295,5.39,26,18,97,7.84,4.78
73,246,4.97,27.5,24,110,7.37,4.43
75,203,4.81,35.5,,117,7.01,4.24
72,196,4.57,36,,117,7.16,4.11
73,201,4.52,37.5,,129,6.91,4.09
75,320,5.45,24.5,34,94,8.37,5.06
71,223,4.6,,21,,,
73,231,4.57,36,23,117,,
75,216,4.6,34.5,,119,7.06,4.17
72,221,4.65,37.5,23,117,7.05,4.21
74,250,4.77,33,18,113,6.93,4.17
69,211,4.56,,24,,,
68,182,4.5,36,18,121,,
74,207,4.75,,,,,
73,183,4.56,37.5,,123,7.04,4.1
76,317,5.34,25.5,27,98,7.82,4.74
70,175,4.43,37.5,,123,6.96,4.04
76,263,5.03,28,23,106,,
75,277,5.06,27.5,17,94,7.59,4.72
71,193,4.6,,,,,
73,235,4.72,34,16,114,7.3,4.24
76,253,,,,,,
73,208,4.63,35,17,115,6.81,4.21
75,229,4.81,33.5,,111,7.12,4.16
77,231,4.68,,,,,
74,195,4.75,32.5,,114,,
74,205,4.66,39.5,,129,6.93,4.13
74,169,4.45,,,,,
75,261,4.9,30.5,20,111,7.75,4.52
71,191,4.43,,,,,
74,233,4.75,32,18,111,7.43,4.45
74,221,4.48,,,,,
70,197,4.57,37,16,126,6.66,4
72,225,4.5,37,23,115,6.92,4.4
78,333,5.59,26,22,95,8.15,5.13
72,215,4.91,25.5,,100,7.34,4.21
78,308,5.5,25,22,94,8.33,5
75,222,5.37,26.5,,98,7.8,4.78
71,216,4.48,32.5,,121,,
76,283,5.13,30,18,101,7.91,4.68
75,299,5.37,26.5,20,99,7.49,4.88
74,293,5.19,29.5,17,106,,
76,312,5.09,29.5,25,94,7.72,4.72
77,314,5.31,29.5,25,101,8.31,4.76
73,232,4.68,37,19,124,7.21,4.31
71,188,4.55,,,,,
75,321,5.35,,,,,
77,325,5.08,,,,,
72,202,4.5,37,10,116,,
67,199,4.6,32,12,118,6.63,4.3
75,241,4.75,32.5,,111,7.33,4.38
74,308,5.34,25,24,92,,
72,194,4.59,33.5,,119,,
70,193,4.5,34,11,116,7.45,4.24
74,316,5.13,28.5,24,102,7.78,4.6
76,253,4.81,37.5,,114,6.72,4.3
73,195,4.53,35,5,120,,
75,262,4.78,,,,,
77,318,5.65,22.5,18,98,8.48,4.81
75,252,4.72,,,,,
74,180,4.66,33,,119,7.18,4.1
74,297,4.83,,,,,
72,237,4.6,36,24,117,7.08,4.09
74,246,4.84,34.5,20,115,7.21,4.27
72,247,4.87,30,24,112,7.08,4.26
73,198,4.57,35,13,115,7.18,4.29
72,245,5.18,29.5,,108,7.51,4.58
70,207,4.5,,,,,
77,320,5.37,27.5,24,100,7.87,4.83
71,220,4.65,,25,,,
76,275,4.88,,,,,
72,249,5,32.5,19,109,8.38,4.85
69,177,4.34,35,,124,,
70,204,4.78,33,13,113,7.18,4.47
71,184,4.55,33.5,,123,,
75,250,4.78,38,24,115,6.84,4.14
67,204,4.6,35,13,111,7.14,4.14
75,255,4.75,,31,,,
75,318,5.37,27,22,90,7.91,4.84
75,249,4.65,34.5,,115,,
73,199,4.43,37,,118,7.15,
74,270,4.56,38.5,,120,,4.42
75,300,5.22,29.5,23,100,7.99,
76,305,5.28,26,16,104,7.99,4.73
75,220,4.65,,,,,
73,194,4.6,37.5,15,123,6.95,4.29
77,310,5.26,28.5,19,99,7.72,4.6
78,296,5.09,29,25,99,7.82,4.72
77,297,5.16,27,21,96,8.18,4.95
72,249,4.65,32,24,109,7.23,4.3
76,258,4.59,34,27,122,6.94,4.18
71,196,4.53,36.5,14,121,7.09,4.16
76,306,5.2,28.5,14,108,7.54,4.42
80,326,5.22,27.5,29,101,7.68,4.68
74,293,4.82,,,,,
70,218,,,,,,
66,171,4.55,32.5,,106,6.61,3.84
73,307,5.1,30.5,29,105,7.97,4.56
71,194,4.58,,,,,
69,180,4.42,35.5,17,122,6.76,3.98
74,228,4.78,31,,110,7.42,4.22
76,254,4.66,32.5,,121,6.97,4.18
69,179,4.51,35,11,115,7.21,4.27
72,195,4.68,32.5,,118,7.05,4.24
73,218,4.62,37.5,,124,6.91,4.09
73,213,4.61,38.5,14,118,6.96,4.53
71,193,4.5,,,,,
76,332,5.26,29,28,97,7.78,4.72
71,222,4.52,,,,,
70,206,4.72,31.5,15,108,7.15,4.65
71,180,4.59,36,,123,7.22,4.16
75,282,4.9,30.5,,111,7.22,4.25
74,245,4.56,,11,,,
74,290,5.21,30.5,23,109,,
71,216,4.84,29.5,15,112,7.15,4.41
75,229,4.91,34,,108,7.71,4.59
