"title","season","episode","type","aired","viewers","rating","duration","director","writer","year","month","day","dr_actor"
"Rose",1,1,"episode",2005-03-26,10.81,76,45,"Keith Boak","Russell T Davies",2005,3,26,"Christopher Eccleston"
"The End of the World",1,2,"episode",2005-04-02,7.97,76,44,"Euros Lyn","Russell T Davies",2005,4,2,"Christopher Eccleston"
"The Unquiet Dead",1,3,"episode",2005-04-09,8.86,80,44,"Euros Lyn","Mark Gatiss",2005,4,9,"Christopher Eccleston"
"Aliens of London",1,4,"episode",2005-04-16,7.63,82,45,"Keith Boak","Russell T Davies",2005,4,16,"Christopher Eccleston"
"World War Three",1,5,"episode",2005-04-23,7.98,81,42,"Keith Boak","Russell T Davies",2005,4,23,"Christopher Eccleston"
"Dalek",1,6,"episode",2005-04-30,8.63,84,45,"Joe Ahearne","Robert Shearman",2005,4,30,"Christopher Eccleston"
"The Long Game",1,7,"episode",2005-05-07,8.01,81,44,"Brian Grant","Russell T Davies",2005,5,7,"Christopher Eccleston"
"Father's Day",1,8,"episode",2005-05-14,8.06,83,45,"Joe Ahearne","Paul Cornell",2005,5,14,"Christopher Eccleston"
"The Empty Child",1,9,"episode",2005-05-21,7.11,84,45,"James Hawes","Steven Moffat",2005,5,21,"Christopher Eccleston"
"The Doctor Dances",1,10,"episode",2005-05-28,6.86,85,45,"James Hawes","Steven Moffat",2005,5,28,"Christopher Eccleston"
"Boom Town",1,11,"episode",2005-06-04,7.68,82,45,"Joe Ahearne","Russell T Davies",2005,6,4,"Christopher Eccleston"
"Bad Wolf",1,12,"episode",2005-06-11,6.81,86,45,"Joe Ahearne","Russell T Davies",2005,6,11,"Christopher Eccleston"
"The Parting of the Ways",1,13,"episode",2005-06-18,6.91,89,45,"Joe Ahearne","Russell T Davies",2005,6,18,"Christopher Eccleston"
"The Christmas Invasion",2,NA,"special",2005-12-25,9.84,84,60,"James Hawes","Russell T Davies",2005,12,25,"David Tennant"
"New Earth",2,1,"episode",2006-04-15,8.62,85,45,"James Hawes","Russell T Davies",2006,4,15,"David Tennant"
"Tooth and Claw",2,2,"episode",2006-04-22,9.24,83,45,"Euros Lyn","Russell T Davies",2006,4,22,"David Tennant"
"School Reunion",2,3,"episode",2006-04-29,8.31,85,45,"James Hawes","Toby Whithouse",2006,4,29,"David Tennant"
"The Girl in the Fireplace",2,4,"episode",2006-05-06,7.9,84,45,"Euros Lyn","Steven Moffat",2006,5,6,"David Tennant"
"Rise of the Cybermen",2,5,"episode",2006-05-13,9.22,86,45,"Graeme Harper","Tom MacRae",2006,5,13,"David Tennant"
"The Age of Steel",2,6,"episode",2006-05-20,7.63,86,45,"Graeme Harper","Tom MacRae",2006,5,20,"David Tennant"
"The Idiot's Lantern",2,7,"episode",2006-05-27,6.76,84,45,"Euros Lyn","Mark Gatiss",2006,5,27,"David Tennant"
"The Impossible Planet",2,8,"episode",2006-06-03,6.32,85,45,"James Strong","Matt Jones",2006,6,3,"David Tennant"
"The Satan Pit",2,9,"episode",2006-06-10,6.08,86,45,"James Strong","Matt Jones",2006,6,10,"David Tennant"
"Love & Monsters",2,10,"episode",2006-06-17,6.66,76,45,"Dan Zeff","Russell T Davies",2006,6,17,"David Tennant"
"Fear Her",2,11,"episode",2006-06-24,7.14,83,45,"Euros Lyn","Matthew Graham",2006,6,24,"David Tennant"
"Army of Ghosts",2,12,"episode",2006-07-01,8.19,86,45,"Graeme Harper","Russell T Davies",2006,7,1,"David Tennant"
"Doomsday",2,13,"episode",2006-07-08,8.22,89,45,"Graeme Harper","Russell T Davies",2006,7,8,"David Tennant"
"The Runaway Bride",3,NA,"special",2006-12-25,9.35,84,60,"Euros Lyn","Russell T Davies",2006,12,25,"David Tennant"
"Smith and Jones",3,1,"episode",2007-03-31,8.71,88,45,"Charles Palmer","Russell T Davies",2007,3,31,"David Tennant"
"The Shakespeare Code",3,2,"episode",2007-04-07,7.23,87,45,"Charles Palmer","Gareth Roberts",2007,4,7,"David Tennant"
"Gridlock",3,3,"episode",2007-04-14,8.41,85,45,"Richard Clark","Russell T Davies",2007,4,14,"David Tennant"
"Daleks in Manhattan",3,4,"episode",2007-04-21,6.69,86,45,"James Strong","Helen Raynor",2007,4,21,"David Tennant"
"Evolution of the Daleks",3,5,"episode",2007-04-28,6.97,85,45,"James Strong","Helen Raynor",2007,4,28,"David Tennant"
"The Lazarus Experiment",3,6,"episode",2007-05-05,7.19,86,45,"Richard Clark","Stephen Greenhorn",2007,5,5,"David Tennant"
"42",3,7,"episode",2007-05-19,7.41,85,45,"Graeme Harper","Chris Chibnall",2007,5,19,"David Tennant"
"Human Nature",3,8,"episode",2007-05-26,7.74,86,45,"Charles Palmer","Paul Cornell",2007,5,26,"David Tennant"
"The Family of Blood",3,9,"episode",2007-06-02,7.21,86,45,"Charles Palmer","Paul Cornell",2007,6,2,"David Tennant"
"Blink",3,10,"episode",2007-06-09,6.62,87,45,"Hettie MacDonald","Steven Moffat",2007,6,9,"David Tennant"
"Utopia",3,11,"episode",2007-06-16,7.84,87,45,"Graeme Harper","Russell T Davies",2007,6,16,"David Tennant"
"The Sound of Drums",3,12,"episode",2007-06-23,7.51,87,45,"Colin Teague","Russell T Davies",2007,6,23,"David Tennant"
