"Character","Creator","Alignment","Alter_Egos","Eye_color","Hair_color","Species","IQ","Intelligence","Strength","Combat","Durability"
"029","None","Good","None",NA,"Black","Human",40,20,5,9,30
"10,000 Volt Ghost","Hanna-Barbera","Bad","None","Orange",NA,"Human",90,45,25,10,30
"2B","Square Enix","Good","None","Blue / White","Silver","Android",120,60,13,100,25
"3-D Man","Marvel Comics","Good","None",NA,NA,"None",110,55,9,30,9
"456","None","Good","None",NA,"Black","Human",100,50,30,20,10
"A-Bomb","Marvel Comics","Good","None","Yellow (without irises)","No Hair","Human",130,65,90,60,55
"A-Qing (Sword of the Yue Maiden)","None","Good","None",NA,NA,"Human",150,75,25,100,90
"A-Train","Dynamite Entertainment","Neutral","None",NA,"Black","None",110,55,25,55,20
"A (Fourth Raikage)","Shueisha","Good","A","Black","Blond","Human",130,65,75,100,20
"A Capella","None","Good","None",NA,NA,"None",110,55,25,25,10
"A.G.O.T.I","None","Neutral","None",NA,"Black","Demon",130,65,30,70,55
"A.I.M. Agent","Marvel Comics","Bad","None","None","None","Human",70,35,1,6,8
"A.M.A.Z.O","DC Comics","Bad","None","Red","Orange","Android",115,60,45,30,55
"A.M.A.Z.O.","DC Comics","Bad","None","Red","Brown","Android",190,95,100,100,100
"Aang","Dark Horse Comics","None","Aang","None","None","None",115,60,25,95,50
"Aang (Avatar State)","Dark Horse Comics","Good","Aang","Green","No Hair","Human",110,55,75,100,55
"Aaravos","None","Bad","None","Silver","Silver","Elf",180,90,1,40,20
"Aaron Smith-Teller (Abida)","None","None","Aaron Smith-Teller (Los)","None","None","None",200,100,100,100,100
"Aaron Smith-Teller (Los)","None","None","Aaron Smith-Teller (Abida)","None","None","None",160,80,1,25,15
"Aatrox (Prime)","Riot Games","Neutral","Aatrox","Red","No Hair","Demon",140,70,75,90,55
"Aatrox (Sealed)","Riot Games","Bad","Aatrox","Red","No Hair","Demon",140,70,35,90,25
"Aayla Secura","George Lucas","None","None","None","None","None",100,50,1,60,10
"Abaddon","Wildstorm","None","None","None","None","None",160,80,50,45,25
"Abaddon The Despoiler","Warhammer 40K","None","None","None","None","None",190,95,100,100,95
"Abby","DC Comics","Good","None","Black","White","Animal",106,55,75,45,50
"Abe Sapien","Dark Horse Comics","Good","None","Blue","No Hair","Icthyo Sapien",170,85,25,65,30
"Abel","Konami","Neutral","None","White","No Hair","Demon",60,30,25,50,30
"Abel Cuvier","DC Comics","None","None","None","None","None",160,80,35,50,25
"Abeloth","George Lucas","Bad","Abeloth",NA,NA,"Cosmic Entity",200,100,100,100,100
"Abeloth (Avatar)","George Lucas","Bad","Abeloth",NA,NA,"None",160,80,100,80,80
"Aberforth Dumbledore","J. K. Rowling","Good","None",NA,NA,"None",145,75,1,60,10
"Abernathy","J. K. Rowling","Bad","None",NA,"Black","None",120,60,1,40,10
"Abholos","H.P. Lovecraft","None","None","None","None","None",200,100,100,100,100
"Abhoth","H.P. Lovecraft","None","None","None","None","None",200,100,100,100,100
"Abnermal","None","Good","None","White","Grey","Animal",89,45,1,19,10
"Abomination","Marvel Comics","Bad","None",NA,NA,"Human",130,65,90,70,50
"Aboras","None","Neutral","None",NA,"No Hair","Kaiju",80,40,75,40,35
"Above All Others","Marvel Comics","Neutral","None","None","None","Cosmic Entity",200,100,100,100,100
"Abraham Lincoln","Cartoon Network","Good","None",NA,NA,"God / Eternal",200,100,100,60,100
"Abraxas","Marvel Comics","Bad","None","Blue","Black","Cosmic Entity",200,100,100,70,100
"Absalom","Marvel Comics","Bad","None","Blue","Blond","Human",120,60,1,50,30
"Absimiliard","None","None","None","None","None","None",200,100,100,100,100
"Absolute Zero","None","Good","None","White","None","Human",120,60,25,60,30
"Absorbing Man","Marvel Comics","Bad","Absorbing Man,Greithoth, Breaker Of Wills,Red Dog","Blue","No Hair","Human",100,50,100,55,100
"Absorbing Man (Cosmic Cube)","Marvel Comics","Bad","Absorbing Man,Greithoth, Breaker Of Wills,Red Dog","White","No Hair","Human",80,40,100,60,100
"Abu Llaf","None","None","None","None","None","None",190,95,100,95,100
"Abyss (Ex Nihilo)","Marvel Comics","Neutral","None","Black","Black","Alien",135,70,1,30,55
"Abyss Watchers","Namco","Bad","None",NA,NA,"None",98,50,50,60,70
"Acacius","None","Good","None","No eyes","No Hair","Kaiju",189,95,100,100,95
"Accelerator","Kadokawa","Good","None","Red","White","Human",190,95,100,10,100
"Ace","DC Comics","Neutral","None","Black","Black","Metahuman",110,55,25,20,5
"Ace Arn","DC Comics","None","None","None","None","None",150,75,35,40,40
"Ace Killer","None","Bad","None","Green","No Hair","Robot",100,50,80,85,60
"Ace The Bat-Hound","DC Comics","None","None","None","None","None",90,45,1,35,7
"Ace Trappola","Disney",NA,"None","Orange","Auburn","Human",140,70,1,45,10
"Ace Ventura","None","Good","None",NA,NA,"Human",120,60,1,40,10
"Acid Breath","Cartoon Network","Bad","None","Red","Black","Human",110,55,5,35,13
"Acnologia","Kodansha","Bad","None","Green","Blue","Human",160,80,95,90,90
"Acnologia (Dragon Form)","Kodansha","None","None","None","None","None",180,90,95,80,90
"Actrise","Konami","Bad","None","Red","Cyan","Human",160,80,100,80,100
"Ad-W4","George Lucas","Neutral","None","Red","No Hair","Robot",133,65,25,65,30
"Ada Wong","Capcom","Good","None","Brown","Black","Human",140,70,5,80,15
"Adad","None","None","None","None","None","None",200,100,100,100,100
