album,words,overall_sentiment,neg_words,neg_sentiment,pos_words,pos_sentiment
Taylor Swift,334,0.71257485,124,-1.766129032,210,2.176190476
Fearless ,660,0.575757576,260,-1.615384615,400,2
Speak Now ,610,0.483606557,248,-1.693548387,362,1.975138122
Red ,912,0.584429825,337,-1.824925816,575,1.996521739
1989,952,0.318277311,370,-2.151351351,582,1.888316151
reputation,562,0.492882562,195,-2.035897436,367,1.836512262
Lover,631,0.442155309,241,-1.98340249,390,1.941025641
folklore,391,-0.043478261,196,-2.081632653,195,2.005128205
evermore,528,-0.070075758,276,-1.942028986,252,1.98015873
Midnights,794,0.205289673,344,-2.110465116,450,1.975555556
THE TORTURED POETS DEPARTMENT,859,-0.351571595,470,-2.278723404,389,1.976863753
